osmid,y,x,street_count,highway,ref,geometry
1237237023,4599420.358027552,548994.1109871622,3,,,POINT (548994.1109871622 4599420.358027552)
1237236916,4599450.581029518,548901.2129762596,3,,,POINT (548901.2129762596 4599450.581029518)
208928901,4599738.649855287,548822.7914669744,4,,,POINT (548822.7914669744 4599738.649855287)
13241102221,4599721.281965706,548789.5050990263,3,,,POINT (548789.5050990263 4599721.281965706)
244035507,4599758.999050762,548860.1860310117,4,,,POINT (548860.1860310117 4599758.999050762)
210587666,4599863.328677107,548756.7327666136,4,,,POINT (548756.7327666136 4599863.328677107)
1251308118,4599673.463106367,548858.3139713585,3,,,POINT (548858.3139713585 4599673.463106367)
208949058,4599363.22395919,547897.6252148313,4,,,POINT (547897.6252148313 4599363.22395919)
208954759,4599368.774234225,547889.1222300032,4,,,POINT (547889.1222300032 4599368.774234225)
210959966,4599447.925123397,548170.7099821392,3,,,POINT (548170.7099821392 4599447.925123397)
208954749,4599455.204185827,548168.4176204696,3,,,POINT (548168.4176204696 4599455.204185827)
208954755,4599413.186508974,548031.206646624,3,,,POINT (548031.206646624 4599413.186508974)
1360770445,4599479.98098984,548009.767467358,3,,,POINT (548009.767467358 4599479.98098984)
245056560,4599305.849306181,547735.848334961,3,,,POINT (547735.848334961 4599305.849306181)
208957132,4599092.510915734,547400.7241015055,4,,,POINT (547400.7241015055 4599092.510915734)
1724303575,4598978.859394042,547337.3345602906,3,,,POINT (547337.3345602906 4598978.859394042)
208960680,4598785.6819858365,547236.8439001548,3,,,POINT (547236.8439001548 4598785.6819858365)
208964311,4598759.811292163,547236.5713624443,3,crossing,,POINT (547236.5713624443 4598759.811292163)
1241184537,4598783.010423363,547247.6388055426,3,,,POINT (547247.6388055426 4598783.010423363)
1598969591,4598764.783201177,547241.3435690303,3,,,POINT (547241.3435690303 4598764.783201177)
1696094070,4598671.610919345,547187.1405840531,3,,,POINT (547187.1405840531 4598671.610919345)
208971339,4597823.8493801495,546612.8121193917,3,,,POINT (546612.8121193917 4597823.8493801495)
2728010362,4598245.715557569,546914.642966145,3,crossing,,POINT (546914.642966145 4598245.715557569)
208971344,4597733.896113433,546444.1093281957,3,,,POINT (546444.1093281957 4597733.896113433)
2654108070,4597789.109575647,546619.6692493912,3,,,POINT (546619.6692493912 4597789.109575647)
1702478163,4597702.924764027,546303.2977530005,3,,,POINT (546303.2977530005 4597702.924764027)
208977479,4597361.716043804,546352.3282633438,3,motorway_junction,5A,POINT (546352.3282633438 4597361.716043804)
210581697,4599798.283271556,548653.9593058187,3,,,POINT (548653.9593058187 4599798.283271556)
210613572,4599951.91950512,548906.2673722877,3,,,POINT (548906.2673722877 4599951.91950512)
210606620,4599878.728424124,548748.5967332667,4,,,POINT (548748.5967332667 4599878.728424124)
210610916,4599787.537180317,548634.4066592178,3,,,POINT (548634.4066592178 4599787.537180317)
224602549,4599994.6284399275,548686.2195645901,4,,,POINT (548686.2195645901 4599994.6284399275)
210606632,4599676.958286081,548549.2278941524,3,,,POINT (548549.2278941524 4599676.958286081)
1605322969,4599591.970738309,548478.7292017173,3,,,POINT (548478.7292017173 4599591.970738309)
210608778,4599962.468692467,548906.5210292354,3,,,POINT (548906.5210292354 4599962.468692467)
2298927585,4599950.8306112895,548879.9693738061,4,,,POINT (548879.9693738061 4599950.8306112895)
